Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
fbmHR@LLDhwdy@DYHieDdUDhlnBdipZ@`ZjjhhfiZNPT@	[C@@H]1(O[C@H]([C@@H]([C@@H]1O)O)CO)n1c2ncnc(c2nc1)SC	LocE_ZINC000000001714_rank1.pdb	298.322	-0.8391	-2.335	8	3	202.4	0.52653	138.82	-0.6589	0.55	0.26963	0.88047	3	
fhi`Q@@pP{p@`pQddabTVrTgIJtmADEKP@@	Cc1cc2c(cc1S(=O)(=O)N)S(=O)(=O)CCC2	LocE_ZINC000000001718_rank1.pdb	275.348	0.1232	-2.827	5	1	178.98	0.40468	111.06	-4.2784	0.47059	0.30375	0.83059	1	
deVD@D@dfYy[fjVh@@	Cc1cc(C)n(c(=O)c1)O	LocE_ZINC000000001720_rank1.pdb	139.153	0.0844	-1.261	3	1	108.34	0.27404	40.54	-2.8137	0.6	0.17138	0.74271	0	
fdyhA@D\DhHHb`PdrsK}klyxLAAUUUD@@	CNc1nc(Cl)c(c(N2CCN(C)CC2)n1)SC	LocE_ZINC000000001729_rank1.pdb	287.818	1.4233	-2.42	5	1	214.07	0.27089	69.59	7.4246	0.55556	0.41162	0.75547	3	
foAi@BHDhrP@]B\bbbbjbRxJshB`jjH@@	c1(cc(N2CCCCC2)nc(N)[n+]1[O-])N	LocE_ZINC000000001735_rank1.pdb	209.252	0.1716	-5.461	6	2	156.71	0.37853	93.63	-0.77015	0.6	0.41813	0.68629	1	
die@`Dp@aIfVifjj`@	N1(CCNC1=S)C(C)C	LocE_ZINC000000001736_rank1.pdb	144.241	0.8295	-1.176	2	1	119.01	0.3614	47.36	2.6365	0.55556	0.39616	0.64124	1	
fn{``@C@]dTTTTRTRJJRSAJ}htTuZtDpMIT@Q@@@	O=C1c2ccccc2C(=O)c2c1cn1c2Cc2ccccc2C1	LocE_ZINC000000001738_rank1.pdb	299.328	4.1252	-4.856	3	0	218	0.15115	39.07	3.2037	0.47826	0.13725	0.94705	0	
fbmi@@J\dZpDiWYWVYbTUhJZj`@jfZH@@	c1(ccc(nn1)N1CCOCC1)Nn1c(C)ccc1C	LocE_ZINC000000001749_rank1.pdb	273.339	1.5422	-5.421	6	1	217.56	0.24738	55.21	2.6643	0.6	0.39206	0.72232	3	
fle`c@CRtBHIDBbDfYuvvUYrJXHBih@@@@	O=C(Nc1ccccc1)Oc1cc(Cl)c(Cl)cc1Cl	LocE_ZINC000000001760_rank1.pdb	316.571	4.902	-5.81	3	1	218.49	0.1579	38.33	-9.1831	0.63158	0.27592	0.68976	3	
fighP@LF]EHIJudbbbbRTUVVTRQJV\FOQuUUTBAUUTQHIBHjP@	n1(cnc2c(ncnc12)NC1CCCCC1)[C@H]1O[C@H]([C@@H]([C@@H]1O)O)CO	LocE_ZINC000000001761_rank1.pdb	349.39	0.1404	-3.883	9	4	251.91	0.39911	125.55	-5.6597	0.56	0.26495	0.8923	4	
flui`@FF]EHBZRYfvv]vgKNCFjjj`PJ`dHbXeD@	Nc1ncnc2c1ncn2[C@H]1C[C@@H]([C@@H]([C@@H]1O)O)CO	LocE_ZINC000000001793_rank1.pdb	265.272	-1.074	-1.333	8	4	184.93	0.51019	130.31	-1.3183	0.52632	0.22747	0.87019	2	
fi{IPBHRUXBB]GBT\dwJ|kKJkkNF]ekTuMUEAQRDMP@	C1(=N[C@H](c2ccccc2N1)N(CCO)CCO)c1ccc(o1)N(=O)=O	LocE_ZINC000000001810_rank1.pdb	346.342	-0.5059	-2.985	9	3	257.85	0.37716	127.05	-0.27375	0.48	0.45921	0.84401	7	
fhiIB@NZLEPHcHhdlhhibjLuZ@BiijH@@	n1(cc(n(c1=O)c1ccc(Cl)cc1)N)CCN	LocE_ZINC000000001815_rank1.pdb	252.704	0.672	-4.245	5	2	182.8	0.27724	75.59	-2.3756	0.64706	0.48332	0.76523	3	
fnspPBHBlAAbpeGIMrmwMrj|dxNVm@DTpTCA@@@	n1(c(=O)c2ccccc2n(c1=O)c1cccc(c1)N(=O)=O)CC	LocE_ZINC000000001819_rank1.pdb	311.296	2.4244	-4.897	7	0	225.31	0.28228	86.44	-1.9688	0.43478	0.37354	0.89395	3	
deeLCHXDrIsfeIgVfjj`@	C([N+](C)(C)C)CON(=O)=O	LocE_ZINC000000001820_rank1.pdb	149.169	-3.8932	-0.27	5	0	117.35	0.27951	55.05	-3.2875	0.7	0.83432	0.48648	4	
figA`@@Y{dTRTrTrTtRaReFRUYpTmMUUUUU[USFHRUCQrC@@	[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)(C#C)OC(=O)C	LocE_ZINC000000001833_rank1.pdb	340.461	3.5682	-4.727	3	0	258.94	0.13934	43.37	0.91441	0.52	0.1776	0.95707	2	
fjc@`@@YRYVum[ejLdjs`iZZjjjjjjXqBRhYN`T@	C[C@@]1(CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]12C)O	LocE_ZINC000000001836_rank1.pdb	288.429	3.4627	-3.993	2	1	213.73	0.1223	37.3	3.1325	0.52381	0.16802	0.90374	0	
dk]@pAt@a@``aIeoeRkSZf`@`@@	Cc1c(ssc1=S)c1cnccn1	LocE_ZINC000000001852_rank1.pdb	226.348	1.7336	0.844	2	0	160.15	0.53025	108.47	-1.1158	0.61538	0.3672	0.69646	1	
fhia`@D@dGHheEEDel]Nmyj@H@B@@@	O=C(Nc1ccc(cc1)O)c1ccccc1O	LocE_ZINC000000001856_rank1.pdb	229.234	2.1157	-2.536	4	3	174.93	0.28983	69.56	0.74561	0.64706	0.46977	0.61678	2	
ffsA`@@HKdTRRTRaRfbThqVg^cejjjjjjjjyRL`ejVWiE@@	C[C@]12COC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O	LocE_ZINC000000001860_rank1.pdb	306.444	2.8769	-3.875	3	1	221.69	0.16302	46.53	1.0361	0.5	0.15982	0.92462	0	
dcNLBBAMJTf{e^UZjjjsIRV@@	[C@@H]([C@@H]1CC[C@@H](CC1)O)([NH3+])C(=O)O	LocE_ZINC000000001869_rank1.pdb	174.219	-3.9431	-1.333	4	3	130.72	0.41095	85.17	-2.0679	0.66667	0.45999	0.62294	2	
f`aY@BHTYYw`@zDiMLjjrjuTuLmSBe@G|P`P	C1(=[N]=C(N)N=C(N)N1)[N](O)(CC=C)CC=C	LocE_ZINC000000001876_rank1.pdb	224.267	-1.0523	-0.163	7	4	201.93	0.48383	121.73	-5.6748	0.5	0.68939	0.6766	4	
fdyab@GLxD@QdbbTjbRrTIPujeZ@Bf`@@	c1(ccc(cc1)OC(=O)c1cccs1)NC(=O)C	LocE_ZINC000000001884_rank1.pdb	261.3	2.6604	-3.438	4	1	198.18	0.34262	83.64	3.1275	0.66667	0.41919	0.62239	4	
daDH`NBHRYWih@H@@	c1(ccc(Cl)cc1)O	LocE_ZINC000000001885_rank1.pdb	128.558	1.9199	-2.056	1	1	95.03	0.13785	20.23	-2.05	0.75	0	0.59947	0	
didL@@rldTTUkjjjlbINP@	C[C@@H]1O[C@@H](C)O[C@@H](C)O1	LocE_ZINC000000001886_rank1.pdb	132.158	1.0389	-1.256	3	0	104.28	0.28769	27.69	-1.5954	0.55556	0.026717	0.69315	0	
dcND@DCTfUm^UZh@H@@	c1(ccc(cc1)O)NC(=O)CC	LocE_ZINC000000001888_rank1.pdb	165.191	1.472	-1.932	3	2	134.84	0.27885	49.33	1.7571	0.75	0.45956	0.52258	2	
dmtD@@UIfU|YZB@`@@	c1(ccc(cc1)O)C(=O)CC	LocE_ZINC000000001890_rank1.pdb	150.176	1.6395	-2.274	2	1	123.38	0.21187	37.3	-0.49138	0.72727	0.41244	0.6089	2	
dg\BpJX{BHRHrHrJPqIZICMUUUU@@	C1(COC(OC1)C(Cl)(Cl)Cl)(CO)CO	LocE_ZINC000000001901_rank1.pdb	265.519	0.7422	-1.487	4	2	167.32	0.27612	58.92	-2.599	0.57143	0.56487	0.52698	3	
fbm@P@@HD[HhdihdiddYSbk^BuHPTUMP`@@	c1(c2occc2cc2ccc(=O)oc12)OCC=C(C)C	LocE_ZINC000000001904_rank1.pdb	270.283	3.5483	-4.283	4	0	211.29	0.22315	48.67	-3.6972	0.5	0.37351	0.86889	3	
det`@@aLReUWBFVfjj@@	C1CCc2nnnn2CC1	LocE_ZINC000000001905_rank1.pdb	138.173	1.2384	-1.095	4	0	114.04	0.34882	43.6	-3.6712	0.6	0.18542	0.7167	0	
dkmD@DpJRY{YWSZf`@@@	NC(=O)NC(=O)Cc1ccccc1	LocE_ZINC000000001916_rank1.pdb	178.19	0.5307	-2.131	4	2	142.5	0.3706	72.19	2.1353	0.69231	0.63101	0.51517	2	
fhy@`@@JRYfYU_hpwgAZd@`@H@@@	O=C1C(=C(c2ccccc12)O)c1ccccc1	LocE_ZINC000000001925_rank1.pdb	222.242	2.6328	-3.244	2	1	166.54	0.15696	37.3	0.26721	0.52941	0.29507	0.80135	1	
dcNDBBABeInvUWVj`@Hq@@	[C@H]([NH3+])(C(=O)O)Cc1ccccc1	LocE_ZINC000000001927_rank1.pdb	166.199	-2.9932	-1.541	3	2	131.35	0.30925	64.94	-3.0896	0.66667	0.62652	0.50742	3	
fbeP`@DNA[HhhhdhcDYd[sUATCET@@@	c1(ccccc1C(=O)N(CC)CC)C(=O)N(CC)CC	LocE_ZINC000000001935_rank1.pdb	276.379	2.6954	-2.102	4	0	233.44	0.14214	40.62	3.6887	0.5	0.7424	0.72942	6	
f`aA`@@HedTRdUfbR]yjjf@@@@	C(C(=O)c1ccccc1)OC(=O)C(C)(C)C	LocE_ZINC000000001939_rank1.pdb	220.267	2.3272	-2.81	3	0	179.71	0.20077	43.37	0.99505	0.625	0.45851	0.51193	5	
dg~H@DAIfV]UivvjPPb@@	Cc1ccc(=O)n(c1)c1ccccc1	LocE_ZINC000000001958_rank1.pdb	185.225	1.8237	-2.71	2	0	151.28	0.10966	20.31	1.0723	0.57143	0.42601	0.64441	1	
figA`@@N{dTRTtTTlVRbQeFJlFNZmMUUSUUSUWFKdDkHJblp@	[C@H]1(CC[C@@H]2[C@H]3C[C@@H](C)C4=CC(=O)CC[C@]4(C)[C@@H]3C(=O)C[C@@]12C)C(=O)C	LocE_ZINC000000001974_rank1.pdb	342.477	3.5799	-4.354	3	0	252.38	0.155	51.21	0.77203	0.48	0.20133	0.96174	1	
ff}@b@F^@DYHheKDeDeHiBTtZiV@Bjjj@@@	c1(cc(cc(c1O)C(C)(C)C)C(=O)c1cccs1)C(C)(C)C	LocE_ZINC000000001977_rank1.pdb	316.464	5.4743	-5.75	2	1	247.44	0.18792	65.54	-1.0584	0.40909	0.44706	0.74421	4	
flyqPBHDDAEg^aJNrJZJIEQQSE`fijffZdDIP	C(=C\c1ncc(n1C)N(=O)=O)(\C(=O)C)/C(=O)OCC	LocE_ZINC000000001990_rank1.pdb	267.24	-0.0718	-1.22	8	0	205.64	0.41013	107.01	-11.228	0.57895	0.52854	0.75402	6	
fhipb@J^CA@@cIICEDdeleVLyZ@@@J@@@	S(=O)(=O)(c1ccc(cc1)N)c1ccc(cn1)N	LocE_ZINC000000002008_rank1.pdb	249.293	0.1067	-2.272	5	2	177.4	0.3951	107.45	0.42	0.64706	0.49169	0.71096	2	
f`qPaBB^xHDQZHIHnrJJIQRsQLT{tDCQLq@@@	c1(c(Cl)cccc1c1c[nH]cc1Cl)N(=O)=O	LocE_ZINC000000002012_rank1.pdb	257.076	2.3317	-4.658	4	1	177.1	0.25076	61.61	-5.3252	0.4375	0.42194	0.80649	2	
fdeI@@D\eXFQQZJIJZIGdmVCEjZfA`J@@@	c1(cnn2c(C)nc3ccccc3c12)NC(=O)C	LocE_ZINC000000002017_rank1.pdb	240.265	0.972	-2.65	5	1	184.36	0.29502	59.29	3.3753	0.5	0.16623	0.86187	1	
fjm`P@I@TXJSLjlljnKR\m@aQUTlPHT`	c1(cc(cc(c1OC)OC)C(=O)/C=C/n1cccc1)OC	LocE_ZINC000000002035_rank1.pdb	287.314	1.3072	-2.276	5	0	233.25	0.21398	49.69	1.335	0.57143	0.42559	0.71096	6	
devD@DCdfYYiaejij`@	O=C1CCC2CCC(=O)N12	LocE_ZINC000000002037_rank1.pdb	139.153	0.0527	-1.221	3	0	99.84	0.29677	37.38	0.77236	0.5	0	0.77836	0	
dknL@DCirJIQQQWSZ`Z@@@	c1(ccccc1O)C(=O)NC(=O)C	LocE_ZINC000000002051_rank1.pdb	179.174	0.8094	-1.607	4	2	138.83	0.36476	66.4	0.46011	0.61538	0.44969	0.64169	1	
fbuAp@@XDkSlyHhheDeLXljRbfjjj`bBbdDaDeIJ@@	[C@@H]1(O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)CO)Oc1c(cccc1)CO	LocE_ZINC000000002053_rank1.pdb	286.279	-1.2727	-1.09	7	5	201.53	0.42425	119.61	-4.6793	0.5	0.24377	0.78472	4	
didD@@EIfU[hBB@@	c1(ccccc1O)CO	LocE_ZINC000000002054_rank1.pdb	124.139	0.7166	-1.204	2	2	99.72	0.26274	40.46	-2.2456	0.66667	0.32854	0.7083	1	
deVD@DAdfygFV``@@@	c1(ccccc1O)C(=O)N	LocE_ZINC000000002055_rank1.pdb	137.138	0.4012	-1.409	3	2	105.88	0.3911	63.32	-0.64565	0.6	0.43591	0.65162	1	
fakq`@DDXCq\bbbbTRrTqfbqNNbwkUSAPLA@P@@@	Cc1c(c(=O)n(n1C)c1ccccc1)NC(=O)c1ccccc1O	LocE_ZINC000000002056_rank1.pdb	323.351	1.1906	-2.568	6	2	240.87	0.23971	72.88	4.8858	0.54167	0.4353	0.83144	3	
f`q``@D@ddrsLk~gV|u@D@@@@@	O=C(Nc1ccccc1)c1ccccc1O	LocE_ZINC000000002057_rank1.pdb	213.235	2.4614	-2.832	3	2	168.58	0.22304	49.33	0.74561	0.625	0.47308	0.60067	2	
fbuA`@@HddrsLlKksdmPUATUQXINIt@@	O([C@H]1[C@@H](CC[C@@H](C)C1)C(C)C)C(=O)c1ccccc1O	LocE_ZINC000000002060_rank1.pdb	276.375	3.9939	-3.785	3	1	221.92	0.16285	46.53	-22.425	0.5	0.3283	0.69754	4	
fagQ@@F}AdTbdVQfRdrrRhIVg^rUoZjjjjjjVjkdDbTTiiVWh@	C[C@]12Cc3c[nH]nc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O	LocE_ZINC000000002077_rank1.pdb	328.498	3.3191	-3.937	3	2	242.03	0.15725	48.91	3.7833	0.45833	0.12962	0.95151	0	
fgAH@@@PXiJVUm\cAJMX@@@@@@@	c1ccc2c(c1)ncc1ncnnc21	LocE_ZINC000000002080_rank1.pdb	182.186	1.0229	-2.263	4	0	137.5	0.31913	51.56	-1.8447	0.57143	0	0.75761	0	
dg]LPIoaLH``cHhheHfhrpPKDp@@	c1(ccc(Cl)c(c1)S(=O)(=O)N)C(=O)N	LocE_ZINC000000002088_rank1.pdb	234.663	0.1169	-2.34	5	2	152.05	0.47458	111.63	1.2778	0.5	0.44165	0.68511	2	
fbuHa@BTYgQ`QD`cHhhhdUIXdlpTTpDQRp@P@@@	S(=O)(=O)(Nc1c(c(nc(C)n1)C)Cl)c1ccc(cc1)N	LocE_ZINC000000002090_rank1.pdb	312.78	1.3069	-3.278	6	2	219.04	0.35268	106.35	3.3525	0.55	0.46713	0.74499	2	
fbuIb@LBCFBO@BLddJbbRRtvvgVBmPLDcUD@@	S(=O)(=O)(Nc1ccn(c(=O)n1)CC)c1ccc(cc1)N	LocE_ZINC000000002092_rank1.pdb	294.334	-0.0121	-2.322	7	2	211.86	0.3937	113.24	4.3984	0.65	0.52	0.73028	2	
fdyHb@LBMFB@AFRREQQIQH{WcNVhIBhhP@@	S(=O)(=O)(c1ccc(cc1)N)Nc1n(ncc1)CC	LocE_ZINC000000002095_rank1.pdb	266.324	-0.0489	-2.322	6	2	195.56	0.37405	98.39	6.6757	0.61111	0.50146	0.7177	3	
dmuD`LVD@HrRRqIXYV`@`@@	c1(ccc(cc1)S(=O)(=O)N)N	LocE_ZINC000000002101_rank1.pdb	172.208	-0.2537	-1.591	4	2	118.88	0.49731	94.56	2.1586	0.63636	0.41658	0.64378	1	
fdyHb@LBdFB@AFRREQQII[KSk^Vh@@@h@@@	S(=O)(=O)(Nc1ncc(C)cn1)c1ccc(cc1)N	LocE_ZINC000000002102_rank1.pdb	264.308	0.4316	-2.636	6	2	191.36	0.40369	106.35	3.9573	0.66667	0.48975	0.64441	2	
fjmhb@LBeyLD@BLddJbbRRtRrtzwejA`hZjFGj@@	C1(=[N]=C(N=C(NS(=O)(=O)c2ccc(cc2)N)N1)CC)CC	LocE_ZINC000000002108_rank1.pdb	308.385	0.9408	-2.766	7	3	231.27	0.39711	128.75	4.6739	0.57143	0.51316	0.75832	3	
fnsHb@LBMfB@AFRREQQIQHqIHz|YuVkTEATAPABJQt@@	N([C@@H]1C[C@H](C)NN1c1ccccc1)S(=O)(=O)c1ccc(cc1)N	LocE_ZINC000000002112_rank1.pdb	332.427	1.1665	-2.792	6	3	240.86	0.29195	95.84	6.7404	0.56522	0.48078	0.78648	3	
fbuIb@LBLFBH`BLddJbbRRvVVgV|mP@@AU@@@	S(=O)(=O)(c1ccc(cc1)N)Nc1ccc(nn1)OCC	LocE_ZINC000000002113_rank1.pdb	294.334	0.4907	-3.147	7	2	215.12	0.40559	115.58	2.1749	0.7	0.43822	0.71292	4	
dglBPHRU@HhHrRPrIRIkUTmP@@	C(C)(S(=O)(=O)CC)(S(=O)(=O)CC)CC	LocE_ZINC000000002115_rank1.pdb	242.359	0.525	-1.702	4	0	171.39	0.33351	85.04	-0.15878	0.5	0.87416	0.74997	5	
dkLBPHRU@HhHrRPrIR]Zjeh@@	C(C)(C)(S(=O)(=O)CC)S(=O)(=O)CC	LocE_ZINC000000002116_rank1.pdb	228.332	0.0706	-1.432	4	0	157.63	0.36262	85.04	-0.47806	0.53846	0.86253	0.68239	4	
fdyPQ@LQ`cpPAC`cIICDhlmeIqQkKUPPDm@@@	c1(ccc(cc1)N1CCCCS1(=O)=O)S(=O)(=O)N	LocE_ZINC000000002119_rank1.pdb	290.363	-0.4114	-3.33	6	1	190.78	0.39826	114.3	-0.15986	0.55556	0.45346	0.71581	2	
fikI@@DXUTFQQQIHjKQSQJJE[WkUUUUPDPqPm@@	C(CN(C[C@H](C)c1cccc2[nH]cc(c12)C)C)NC(=O)N(CC)CC	LocE_ZINC000000002136_rank1.pdb	344.501	2.8215	-2.963	5	2	289.84	0.15729	51.37	7.8387	0.56	0.59264	0.80548	8	
dcLD@@eIi_Z[jjjjdb]@@	C[C@]1(CC[C@H](CC1)C(C)(C)O)O	LocE_ZINC000000002137_rank1.pdb	172.267	1.5804	-2	2	2	137.84	0.19008	40.46	-0.6255	0.58333	0.39682	0.6307	1	
fa{A`@@E[dTRTtRaRfbQThqVg^ceijjjjjijicDIZeiyQ`@	[C@H]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)C	LocE_ZINC000000002142_rank1.pdb	330.466	3.9808	-4.471	3	0	247.39	0.14584	43.37	1.2015	0.54167	0.171	0.93046	2	
figA`@@E[dTRTtRaRfbQTuFJt{t\mMUUUUUMUSFHRuKSrc@@	[C@H]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CC	LocE_ZINC000000002143_rank1.pdb	344.493	4.4352	-4.741	3	0	261.15	0.13816	43.37	2.0301	0.56	0.21005	0.93381	3	
fluHR@DTyKShi@DYEDhdbheEds`iV|uRmUUUTQTMKKr@@	[C@H]1(O[C@@H]([C@H]([C@H]1O)O)n1cnc2c(=S)[nH]cnc12)CO	LocE_ZINC000000002158_rank1.pdb	284.295	-1.936	-1.554	8	4	195.96	0.60273	144.22	-0.18622	0.52632	0.33893	0.87115	2	
f`qAB@L@BDigfUWtzwjZ@@@@@@	O=C(c1ccccc1)SCc1ccccc1	LocE_ZINC000000002162_rank1.pdb	228.314	2.9869	-4.517	1	0	182.02	0.16773	42.37	-2.156	0.6875	0.51884	0.48589	4	
f`q``DC@PZTfVYwetZsfijjjjHQJfdYPI@	[C@H]1(C[C@@H]2CC[C@H](C1)[N@@H+]2C)OC(=O)/C(=C/C)/C	LocE_ZINC000000002169_rank1.pdb	224.323	0.1394	-2.052	3	1	192.62	0.21093	30.74	-3.6165	0.625	0.27114	0.71956	3	
dmLL`LIPBLdTTJVJaff@B`@@	O=c1oc2cc(ccc2s1)O	LocE_ZINC000000002181_rank1.pdb	168.172	0.8692	-2.679	3	1	111.35	0.48163	71.83	-1.4145	0.63636	0	0.70808	0	
ffcPP@DZ@zITfYfVWuUEjRkAZhJhIJjhPRBdGP	C/C=C/1\C[C@@H]2[C@@H](Nc3cc(c(cc3C(=O)N2C1)OC)O)OC	LocE_ZINC000000002198_rank1.pdb	304.345	1.5736	-2.059	6	2	226.13	0.27042	71.03	3.1092	0.5	0.14147	0.89477	2	
fncQb@LR``P@cIIBhheehdXdmVjuZPhHj`@BAe@b@	N(=C(\N[C@@H](C)Cc1ccccc1)/O)/S(=O)(=O)c1ccc(C)cc1	LocE_ZINC000000002199_rank1.pdb	332.423	3.1839	-3.887	5	2	253.16	0.25537	87.14	-0.9195	0.65217	0.57734	0.67534	4	
foAh@@@XhqVRJKQIHjTyITsUKMT@@	n1(cnc(c2-c1ncn2)N)CC=C(C)C	LocE_ZINC000000002209_rank1.pdb	203.248	0.0898	-3.586	5	1	163.72	0.32586	66.34	2.6516	0.6	0.41817	0.75255	2	
dg^DpFjpbDbLbLbdLrbRvgUM@A@@@	O=C(Nc1ccc(cc1)O)C(Cl)(Cl)Cl	LocE_ZINC000000002214_rank1.pdb	254.5	2.4621	-2.863	3	2	165.49	0.2272	49.33	-4.0185	0.64286	0.55331	0.52698	2	
deTHpIBHJHFHRYgUn``J@@	c1(cc(Cl)c(Cl)cc1Cl)O	LocE_ZINC000000002215_rank1.pdb	197.448	3.1319	-3.528	1	1	125.87	0.10408	20.23	-2.05	0.6	0	0.68024	0	
fhi@c@BFADRb@qFQQQIIPq[LD{tDDPPD@@@	c1(cc(Cl)ccc1Oc1ccc(Cl)cc1Cl)O	LocE_ZINC000000002216_rank1.pdb	289.545	4.5275	-5.825	2	1	195.63	0.11808	29.46	-2.0066	0.64706	0.46139	0.68976	2	
fhyA`@@Hldrlk[oQbcN|uHPQUP`@@	Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1	LocE_ZINC000000002226_rank1.pdb	228.246	2.769	-3.97	3	0	173.29	0.21438	39.44	-9.2002	0.52941	0.072401	0.86725	0	
dknLBBACJTf{YWWVj`@bLP@	C(c1ccc(cc1)O)[C@@H]([NH3+])C(=O)O	LocE_ZINC000000002234_rank1.pdb	182.198	-3.3389	-1.245	4	3	137.7	0.39012	85.17	-3.0896	0.69231	0.60709	0.55537	3	
dmVH@DAIneUjji@@	C(C(=O)N)(CC)(CC)CC=C	LocE_ZINC000000002236_rank1.pdb	155.24	2.1737	-2.161	2	1	140.52	0.20147	43.09	-0.17906	0.54545	0.87226	0.52781	5	
dkNH@DAIneUVjjj`@	C(C(=O)N)(CCC)(CCC)CCC	LocE_ZINC000000002237_rank1.pdb	185.31	3.268	-2.762	2	1	169.52	0.167	43.09	0.23027	0.53846	0.86252	0.4621	7	
defH@DAInUVjj`@	C(C(=O)N)(CCC)CCC	LocE_ZINC000000002238_rank1.pdb	143.229	1.7934	-2.045	2	1	131.83	0.21475	43.09	0.63484	0.7	0.63207	0.54931	5	
flu@P@@ZmGHheHdmEJdjBT{pVfjjjijfXeDJRShE@@	C[C@H]1C(=O)O[C@@H]2[C@H]1CC[C@@]1(C)C(=O)C=C[C@@](C)([C@H]21)O	LocE_ZINC000000002242_rank1.pdb	264.32	0.9569	-2.554	4	1	186.47	0.26374	63.6	2.8046	0.42105	0.17952	0.93648	0	
dk^HPNHLRXaIf^UvGS``B@@@@	c1(c(Br)cc(Cl)c2cccnc12)O	LocE_ZINC000000002243_rank1.pdb	258.502	2.9611	-3.596	2	1	147.02	0.16372	33.12	-3.499	0.53846	0	0.74957	0	
fj}IB@NN|EHIAIfV]mfUYJsoA``XfjYhh@@	Cc1nn(C)c2c1C(=NCC(=O)N2C)c1ccccc1F	LocE_ZINC000000002259_rank1.pdb	286.309	1.291	-3.91	5	0	215.39	0.21329	50.49	4.7869	0.42857	0.21401	0.91337	1	
fde`b@GB|BHrJIKJISIPtXkS`p@UPADQCd@@	Cc1ncc2c(c1O)CO[C@@H]2c1ccc(Cl)cc1	LocE_ZINC000000002277_rank1.pdb	261.707	2.3289	-3.138	3	1	188.57	0.18068	42.35	-1.0693	0.61111	0.31126	0.83644	1	
fnkA`@@BKdTRTtVfRfbTmFJt{t\mMUUUUU]TqddmRr}Hh@	[C@@]1(CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4([C@H]3CC[C@@]12C)O)(C#C)O	LocE_ZINC000000002285_rank1.pdb	314.423	2.2602	-3.867	3	2	229.54	0.17095	57.53	1.8438	0.52174	0.1607	0.94705	0	
dknL`DWSBPRYYe^n`BJi@@	Cc1nc(F)c(c(c1O)C=O)CO	LocE_ZINC000000002291_rank1.pdb	185.154	0.4991	-1.94	4	2	136.63	0.36749	70.42	-5.3062	0.53846	0.35934	0.79792	2	
fb}aB@GBADILk[KJztYhugIs@AUUPPABNJT@@	CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1	LocE_ZINC000000002299_rank1.pdb	285.773	4.9405	-4.906	2	0	206.52	0.065611	12.47	4.3683	0.45	0.056137	0.87866	0	
f`qqb@BTYIW`RBSLnmklxZuKUMUUHDcP@	Nc1nc(=O)n(cc1F)[C@H]1CC[C@H](O1)CO	LocE_ZINC000000002300_rank1.pdb	229.21	-1.1291	-2.042	6	2	159.73	0.41614	88.15	-3.3691	0.625	0.43479	0.76455	2	
fgAq@DHDL@tyHeEhhd\DdhujVfjjh@@	C1=C(C[NH2+]CC1)c1nc(no1)C1CC1	LocE_ZINC000000002416_rank1.pdb	192.241	0.6396	-0.853	4	1	147.22	0.29745	55.53	2.2781	0.64286	0.40919	0.68976	2	
fgAI@@DZMXBSKKjiJRTZsURtmUCB@@	C[C@@H]1C(=O)Nc2cc3n[nH]nc3cc12	LocE_ZINC000000002426_rank1.pdb	188.19	0.4265	-2.333	5	2	135.42	0.44624	70.67	5.0726	0.57143	0	0.8218	0	
flma@D@`CNQQISJQIIHtYHs`~c@AUUUTUDxiHtC@@	C[N@@H+]1CC[C@@]23CCCC[C@H]2[C@@H]1Cc1ccc(cc31)O	LocE_ZINC000000002433_rank1.pdb	258.384	0.791	-3.202	2	2	207.44	0.14795	24.67	-6.4333	0.47368	0.15772	0.91456	0	
fgAq@DHDtCTiRswJxIhvkTmUUUVJKbu@@	[C@@H]1(C[N@@H+]2CC[C@H]1CC2)c1onc(C)n1	LocE_ZINC000000002490_rank1.pdb	194.257	-0.8261	-0.658	4	1	163.87	0.32733	43.36	0.64117	0.57143	0.37578	0.73114	1	
fgAq@DHDtCTyHeDXhdlDt[UjVjjjkCEqZ`@	[C@@H]1(C[N@@H+]2CC[C@H]1CC2)c1nc(C)on1	LocE_ZINC000000002493_rank1.pdb	194.257	-0.8261	-0.658	4	1	163.87	0.32733	43.36	1.3521	0.57143	0.30337	0.73114	1	
