Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
dknDbItpbIeIe][jZ@BjX`X@	[C@@H]([NH3+])(Cc1ccc(Cl)cc1)C(=O)O	Resultados/ZINC000000000290_rank1.pdb	200.644	-2.3872	-2.277	3	2	146.77	0.27676	64.94	-2.9695	0.69231	0.60709	0.61059	3	
ffcqa@IZ}pS`QA@cHhheHeThcDdqUoEkA@lUM@@QBr@@	c1(cc2c(cc1Cl)N[C@H](NC2=O)c1ccccc1)S(=O)(=O)N	Resultados/ZINC000000000305_rank1.pdb	337.786	1.1598	-3.673	6	3	225.21	0.35438	109.67	5.5217	0.54545	0.30505	0.85521	2	
dcNH@DAIV^UWVj`@Hq@@	C([C@H](C)NC=O)c1ccccc1	Resultados/ZINC000000000325_rank1.pdb	163.219	1.4913	-2.433	2	1	142.78	0.17159	29.1	2.757	0.75	0.6373	0.48173	3	
dg^BBBAElirJZZIJESkU@DRQd@	c1(ccc(c(c1)O)C=O)[C@H]([NH3+])C(=O)O	Resultados/ZINC000000000327_rank1.pdb	196.181	-3.9083	-1.15	5	3	143.48	0.46529	102.24	-4.6795	0.64286	0.44097	0.63126	3	
fhiqPBHRTAAKNaJNrJZIKIQQEgG^ZfjjZfay@@	N(Cc1ccc(o1)N(=O)=O)N1C[C@@H](C)OC1=O	Resultados/ZINC000000000334_rank1.pdb	241.202	-1.2182	-3.012	8	1	174.91	0.47213	100.53	-9.5463	0.64706	0.60528	0.66485	4	
deTL@@P\bbTQ`ruMUQt@	C(=O)(C(=C)C)OC[C@@H]1CO1	Resultados/ZINC000000000345_rank1.pdb	142.153	0.6199	-1.065	3	0	120.43	0.33787	38.83	-30.284	0.7	0.36408	0.54161	4	
fjmAP@@Hd[JSKLrrn}hKdmPAAADL@@@	C(=O)(Oc1c(cccc1)OC)c1ccccc1OC(=O)C	Resultados/ZINC000000000348_rank1.pdb	286.282	3.0068	-3.404	5	0	223.04	0.25143	61.83	-1.3104	0.52381	0.2298	0.73284	6	
fhiA`@@HtdrsJrziu`mP@DA@@@@	O(c1c(cccc1)OC)C(=O)c1ccccc1	Resultados/ZINC000000000349_rank1.pdb	228.246	3.0201	-3.104	3	0	183.03	0.18052	35.53	-1.4721	0.58824	0.22319	0.62953	4	
fbuAP@@HpjrSJsLlkih~ruPAAAD@@@	C(=O)(Oc1c(cccc1)OC)Oc1ccccc1OC	Resultados/ZINC000000000350_rank1.pdb	274.271	3.227	-3.596	5	0	215.29	0.24637	53.99	-1.8548	0.55	0.058691	0.64123	6	
dcw@@@SLbbtbLcUUU@@	C(C)(C)(CC(C)(C)C)NC(=N)N	Resultados/ZINC000000000356_rank1.pdb	171.287	1.4722	-1.558	3	3	149.67	0.28282	61.9	-0.303	0.58333	0.82939	0.52781	3	
